Name                                                                           Stmts   Miss   Cover   Missing
backend\unified_mapping_api.py                                                    81     81   0.00%   9-210
backend\utils\__init__.py                                                          5      0 100.00%
backend\utils\exceptions.py                                                       26     13  50.00%   18-22, 28, 34, 40-43, 49, 55
backend\utils\pagination.py                                                       38     24  36.84%   27-29, 45-55, 59, 82-85, 106-116, 139
backend\utils\responses.py                                                        39     23  41.03%   34-44, 53, 74-86, 109-122, 139, 152-155, 162, 169, 176, 188, 193-207
backend\utils\safe_path.py                                                         9      6  33.33%   9-21
backend\utils\validation.py                                                      138    107  22.46%   22-23, 30-34, 38-41, 45-47, 51-63, 67-79, 83-89, 93-100, 104-117, 121-128, 132-138, 142, 146-148, 157, 169-172, 190-221, 245-278
backend\websocket.py                                                              62     32  48.39%   44-45, 51, 58-62, 68-71, 78-82, 87-88, 96-97, 106-107, 112, 119-132, 137-138
models.py                                                                       1030    155  84.95%   62-70, 75-79, 107-112, 116-118, 122-124, 133-165, 173-187, 191-192, 196-199, 203, 218-222, 246, 311, 342-348, 353-357, 362-368, 373-377, 392, 437, 476, 521-527, 530-539, 542-550, 602-608, 613-618, 621, 716, 774, 834, 881, 909, 944, 991, 1029, 1060, 1093, 1252, 1286, 1322, 1380, 1435, 1480, 1526, 1577, 1631, 1676, 1722, 1767, 1804, 1836, 1863, 1887, 1917, 1943, 1974, 2003, 2027, 2055, 2091, 2130, 2165, 2195
-------------------------------------------------------------------------------------------------------------
TOTAL                                                                          20553  16144  21.45%
